Begin Month,12 Month Return,12 Month Factor,
5/31/28,0.216857829,1.216857829,
6/30/28,0.210025434,1.210025434,
7/31/28,0.14201401,1.14201401,
8/31/28,0.165218549,1.165218549,
9/30/28,0.154218426,1.154218426,
10/31/28,0.224613798,1.224613798,
11/30/28,0.242703333,1.242703333,
12/31/28,0.222764253,1.222764253,
1/31/29,0.248122921,1.248122921,
2/28/29,0.253096235,1.253096235,
3/31/29,0.189991904,1.189991904,
4/30/29,0.164907853,1.164907853,
5/31/29,0.110283023,1.110283023,
6/30/29,0.190894414,1.190894414,
7/31/29,0.212113028,1.212113028,
8/31/29,0.224768425,1.224768425,
9/30/29,0.169745431,1.169745431,
10/31/29,0.041915713,1.041915713,
11/30/29,-0.084906398,0.915093602,
12/31/29,-0.078944401,0.921055599,
1/31/30,-0.063215042,0.936784958,
2/28/30,-0.044202268,0.955797732,
3/31/30,0.014766541,1.014766541,
4/30/30,-0.028439594,0.971560406,
5/31/30,0.013563349,1.013563349,
6/30/30,-0.111181088,0.888818912,
7/31/30,-0.097671907,0.902328093,
8/31/30,-0.135891547,0.864108453,
9/30/30,-0.174876895,0.825123105,
10/31/30,-0.122100599,0.877899401,
11/30/30,-0.073415061,0.926584939,
12/31/30,-0.111878038,0.888121962,
1/31/31,-0.098424553,0.901575447,
2/28/31,-0.052298155,0.947701845,
3/31/31,-0.137152936,0.862847064,
4/30/31,-0.157041847,0.842958153,
5/31/31,-0.194974474,0.805025526,
6/30/31,-0.023144167,0.976855833,
7/31/31,-0.106003167,0.893996833,
8/31/31,-0.114782884,0.885217116,
9/30/31,-0.218294832,0.781705168,
10/31/31,-0.159017816,0.840982184,
11/30/31,-0.198928513,0.801071487,
12/31/31,-0.250542735,0.749457265,
1/31/32,-0.26671312,0.73328688,
2/29/32,-0.29401524,0.70598476,
3/31/32,-0.309339441,0.690660559,
4/30/32,-0.325207869,0.674792131,
5/31/32,-0.350477876,0.649522124,
6/30/32,-0.407601081,0.592398919,
7/31/32,-0.193799211,0.806200789,
8/31/32,0.126119369,1.126119369,
9/30/32,0.328626716,1.328626716,
10/31/32,0.121455157,1.121455157,
11/30/32,0.122921313,1.122921313,
12/31/32,0.254594171,1.254594171,
1/31/33,0.265565087,1.265565087,
2/28/33,0.087297178,1.087297178,
3/31/33,0.222371853,1.222371853,
4/30/33,0.757360071,1.757360071,
5/31/33,1.432281836,2.432281836,
6/30/33,1.626895473,2.626895473,
7/31/33,0.846321721,1.846321721,
8/31/33,0.435121686,1.435121686,
9/30/33,0.356072376,1.356072376,
10/31/33,0.439525837,1.439525837,
11/30/33,0.607691218,1.607691218,
12/31/33,0.599295208,1.599295208,
1/31/34,0.737179484,1.737179484,
2/28/34,0.92455921,1.92455921,
3/31/34,0.816752453,1.816752453,
4/30/34,0.348332375,1.348332375,
5/31/34,0.004067712,1.004067712,
6/30/34,-0.081211549,0.918788451,
7/31/34,-0.090825241,0.909174759,
8/31/34,-0.125500506,0.874499494,
9/30/34,-0.061517288,0.938482712,
10/31/34,0.002379977,1.002379977,
11/30/34,0.001388357,1.001388357,
12/31/34,0.011750933,1.011750933,
1/31/35,-0.138101612,0.861898388,
2/28/35,-0.154613287,0.845386713,
3/31/35,-0.182690276,0.817309724,
4/30/35,-0.128773229,0.871226771,
5/31/35,-0.064164525,0.935835475,
6/30/35,-0.026401091,0.973598909,
7/31/35,0.157995402,1.157995402,
8/31/35,0.143488881,1.143488881,
9/30/35,0.185570526,1.185570526,
10/31/35,0.260490509,1.260490509,
11/30/35,0.253119663,1.253119663,
12/31/35,0.292316848,1.292316848,
1/31/36,0.446059402,1.446059402,
2/29/36,0.550624183,1.550624183,
3/31/36,0.619115417,1.619115417,
4/30/36,0.420836266,1.420836266,
5/31/36,0.455042113,1.455042113,
6/30/36,0.397451413,1.397451413,
7/31/36,0.372532509,1.372532509,
8/31/36,0.352055019,1.352055019,
9/30/36,0.354214172,1.354214172,
10/31/36,0.353357392,1.353357392,
11/30/36,0.325505696,1.325505696,
12/31/36,0.28538183,1.28538183,
1/31/37,0.226583272,1.226583272,
2/28/37,0.220614422,1.220614422,
3/31/37,0.203807757,1.203807757,
4/30/37,0.20857614,1.20857614,
5/31/37,0.144683806,1.144683806,
6/30/37,0.097055718,1.097055718,
7/31/37,0.102952714,1.102952714,
8/31/37,0.055176517,1.055176517,
9/30/37,-0.071382245,0.928617755,
10/31/37,-0.17077717,0.82922283,
11/30/37,-0.228884311,0.771115689,
12/31/37,-0.259701362,0.740298638,
1/31/38,-0.259781856,0.740218144,
2/28/38,-0.252346595,0.747653405,
3/31/38,-0.352806493,0.647193507,
4/30/38,-0.253544192,0.746455808,
5/31/38,-0.254689863,0.745310137,
6/30/38,-0.088398202,0.911601798,
7/31/38,-0.077146681,0.922853319,
8/31/38,-0.077240575,0.922759425,
9/30/38,0.033210013,1.033210013,
10/31/38,0.187013434,1.187013434,
11/30/38,0.210319011,1.210319011,
12/31/38,0.282031057,1.282031057,
1/31/39,0.17779042,1.17779042,
2/28/39,0.177317721,1.177317721,
3/31/39,0.212934847,1.212934847,
4/30/39,0.137563174,1.137563174,
5/31/39,0.217781872,1.217781872,
6/30/39,-0.012526932,0.987473068,
